B25003H_001E,B25003H_002E,B25003H_003E,name,county,county subdivision,state
1604.0,1089.0,515.0,"Castleton town, Rutland County, Vermont",021,11950,50
1259.0,1061.0,198.0,"Pittsford town, Rutland County, Vermont",021,55600,50
429.0,396.0,33.0,"Shrewsbury town, Rutland County, Vermont",021,65275,50
1574.0,1115.0,459.0,"Brandon town, Rutland County, Vermont",021,07750,50
236.0,228.0,8.0,"Hubbardton town, Rutland County, Vermont",021,34450,50
343.0,308.0,35.0,"Killington town, Rutland County, Vermont",021,37685,50
324.0,269.0,55.0,"Middletown Springs town, Rutland County, Vermont",021,44800,50
456.0,378.0,78.0,"Mendon town, Rutland County, Vermont",021,44125,50
557.0,512.0,45.0,"Mount Holly town, Rutland County, Vermont",021,47200,50
957.0,786.0,171.0,"West Rutland town, Rutland County, Vermont",021,82300,50
683.0,528.0,155.0,"Proctor town, Rutland County, Vermont",021,57250,50
164.0,154.0,10.0,"Ira town, Rutland County, Vermont",021,35425,50
364.0,302.0,62.0,"Benson town, Rutland County, Vermont",021,05200,50
1015.0,850.0,165.0,"Clarendon town, Rutland County, Vermont",021,14500,50
537.0,431.0,106.0,"Danby town, Rutland County, Vermont",021,16825,50
1009.0,693.0,316.0,"Fair Haven town, Rutland County, Vermont",021,25375,50
1229.0,917.0,312.0,"Poultney town, Rutland County, Vermont",021,56875,50
93.0,62.0,31.0,"Mount Tabor town, Rutland County, Vermont",021,47425,50
184.0,141.0,43.0,"Pittsfield town, Rutland County, Vermont",021,55450,50
6696.0,3660.0,3036.0,"Rutland city, Rutland County, Vermont",021,61225,50
486.0,415.0,71.0,"Chittenden town, Rutland County, Vermont",021,14350,50
561.0,461.0,100.0,"Pawlet town, Rutland County, Vermont",021,54250,50
251.0,203.0,48.0,"Tinmouth town, Rutland County, Vermont",021,72925,50
868.0,697.0,171.0,"Wallingford town, Rutland County, Vermont",021,75925,50
412.0,378.0,34.0,"Wells town, Rutland County, Vermont",021,77950,50
128.0,112.0,16.0,"West Haven town, Rutland County, Vermont",021,80875,50
244.0,234.0,10.0,"Sudbury town, Rutland County, Vermont",021,71050,50
1796.0,1358.0,438.0,"Rutland town, Rutland County, Vermont",021,61300,50
480.0,414.0,66.0,"Glover town, Orleans County, Vermont",019,28075,50
627.0,526.0,101.0,"Troy town, Orleans County, Vermont",019,73525,50
409.0,356.0,53.0,"Albany town, Orleans County, Vermont",019,00475,50
302.0,247.0,55.0,"Greensboro town, Orleans County, Vermont",019,30175,50
242.0,189.0,53.0,"Jay town, Orleans County, Vermont",019,36325,50
521.0,436.0,85.0,"Irasburg town, Orleans County, Vermont",019,35575,50
231.0,198.0,33.0,"Westfield town, Orleans County, Vermont",019,80200,50
462.0,359.0,103.0,"Charleston town, Orleans County, Vermont",019,13150,50
1880.0,1482.0,398.0,"Derby town, Orleans County, Vermont",019,17350,50
321.0,219.0,102.0,"Lowell town, Orleans County, Vermont",019,40525,50
291.0,268.0,23.0,"Holland town, Orleans County, Vermont",019,33775,50
1765.0,1053.0,712.0,"Newport city, Orleans County, Vermont",019,48850,50
233.0,216.0,17.0,"Morgan town, Orleans County, Vermont",019,46450,50
891.0,778.0,113.0,"Newport town, Orleans County, Vermont",019,48925,50
1029.0,762.0,267.0,"Barton town, Orleans County, Vermont",019,03550,50
160.0,142.0,18.0,"Westmore town, Orleans County, Vermont",019,81700,50
417.0,365.0,52.0,"Brownington town, Orleans County, Vermont",019,09850,50
402.0,309.0,93.0,"Coventry town, Orleans County, Vermont",019,16150,50
427.0,364.0,63.0,"Craftsbury town, Orleans County, Vermont",019,16300,50
848.0,651.0,197.0,"Grand Isle town, Grand Isle County, Vermont",013,29275,50
394.0,353.0,41.0,"North Hero town, Grand Isle County, Vermont",013,50650,50
641.0,509.0,132.0,"South Hero town, Grand Isle County, Vermont",013,67000,50
194.0,179.0,15.0,"Isle La Motte town, Grand Isle County, Vermont",013,35875,50
505.0,451.0,54.0,"Braintree town, Orange County, Vermont",017,07600,50
551.0,442.0,109.0,"Tunbridge town, Orange County, Vermont",017,73675,50
277.0,243.0,34.0,"Vershire town, Orange County, Vermont",017,74950,50
953.0,737.0,216.0,"Newbury town, Orange County, Vermont",017,48175,50
1200.0,928.0,272.0,"Bradford town, Orange County, Vermont",017,07375,50
534.0,405.0,129.0,"Chelsea town, Orange County, Vermont",017,13525,50
322.0,254.0,68.0,"West Fairlee town, Orange County, Vermont",017,79975,50
1382.0,1014.0,368.0,"Williamstown town, Orange County, Vermont",017,84175,50
414.0,357.0,57.0,"Topsham town, Orange County, Vermont",017,73075,50
409.0,383.0,26.0,"Orange town, Orange County, Vermont",017,53425,50
408.0,369.0,39.0,"Washington town, Orange County, Vermont",017,76750,50
561.0,487.0,74.0,"Brookfield town, Orange County, Vermont",017,09325,50
460.0,341.0,119.0,"Fairlee town, Orange County, Vermont",017,25675,50
1093.0,973.0,120.0,"Thetford town, Orange County, Vermont",017,72400,50
568.0,488.0,80.0,"Corinth town, Orange County, Vermont",017,15700,50
1757.0,1308.0,449.0,"Randolph town, Orange County, Vermont",017,58075,50
452.0,406.0,46.0,"Strafford town, Orange County, Vermont",017,70675,50
6199.0,4411.0,1788.0,"Colchester town, Chittenden County, Vermont",007,14875,50
8017.0,5659.0,2358.0,"Essex town, Chittenden County, Vermont",007,24175,50
4152.0,3355.0,797.0,"Milton town, Chittenden County, Vermont",007,45250,50
2782.0,1140.0,1642.0,"Winooski city, Chittenden County, Vermont",007,85150,50
12.0,3.0,9.0,"Buels gore, Chittenden County, Vermont",007,10300,50
14216.0,5833.0,8383.0,"Burlington city, Chittenden County, Vermont",007,10675,50
267.0,196.0,71.0,"St. George town, Chittenden County, Vermont",007,62050,50
1933.0,1730.0,203.0,"Jericho town, Chittenden County, Vermont",007,36700,50
7858.0,5062.0,2796.0,"South Burlington city, Chittenden County, Vermont",007,66175,50
576.0,433.0,143.0,"Bolton town, Chittenden County, Vermont",007,06550,50
1731.0,1297.0,434.0,"Hinesburg town, Chittenden County, Vermont",007,33475,50
3038.0,2125.0,913.0,"Shelburne town, Chittenden County, Vermont",007,64300,50
1443.0,1304.0,139.0,"Charlotte town, Chittenden County, Vermont",007,13300,50
731.0,670.0,61.0,"Westford town, Chittenden County, Vermont",007,80350,50
762.0,664.0,98.0,"Huntington town, Chittenden County, Vermont",007,34600,50
1516.0,1205.0,311.0,"Richmond town, Chittenden County, Vermont",007,59275,50
1136.0,1067.0,69.0,"Underhill town, Chittenden County, Vermont",007,73975,50
3605.0,2799.0,806.0,"Williston town, Chittenden County, Vermont",007,84475,50
152.0,138.0,14.0,"Belvidere town, Lamoille County, Vermont",015,04375,50
2037.0,1305.0,732.0,"Stowe town, Lamoille County, Vermont",015,70525,50
2246.0,1572.0,674.0,"Morristown town, Lamoille County, Vermont",015,46675,50
287.0,236.0,51.0,"Waterville town, Lamoille County, Vermont",015,77425,50
1544.0,1046.0,498.0,"Cambridge town, Lamoille County, Vermont",015,11500,50
629.0,549.0,80.0,"Wolcott town, Lamoille County, Vermont",015,85375,50
468.0,389.0,79.0,"Eden town, Lamoille County, Vermont",015,23500,50
1202.0,628.0,574.0,"Johnson town, Lamoille County, Vermont",015,37075,50
339.0,307.0,32.0,"Elmore town, Lamoille County, Vermont",015,23725,50
1224.0,1067.0,157.0,"Hyde Park town, Lamoille County, Vermont",015,35050,50
898.0,629.0,269.0,"Ludlow town, Windsor County, Vermont",027,41275,50
